,mode,map,type,pl1_tm1_brawler,pl1_tm1_brwlr_trop,pl1_tm1_brwlr_pwr,pl2_tm1_brawler,pl2_tm1_brwlr_trop,pl2_tm1_brwlr_pwr,pl3_tm1_brawler,pl3_tm1_brwlr_trop,pl3_tm1_brwlr_pwr,pl1_tm2_brawler,pl1_tm2_brwlr_trop,pl1_tm2_brwlr_pwr,pl2_tm2_brawler,pl2_tm2_brwlr_trop,pl2_tm2_brwlr_pwr,pl3_tm2_brawler,pl3_tm2_brwlr_trop,pl3_tm2_brwlr_pwr,tm1_win,unq_battle_id
477,brawlBall,Sneaky Fields,ranked,STU,1031,10,BEA,993,10,FRANK,1040,10,BULL,904,10,GENE,748,10,EMZ,780,10,True,20210822T002838.000Z_15000050_5496
478,siege,Bot Drop,ranked,PIPER,1015,10,PAM,1073,10,CROW,1011,10,MAX,861,10,BO,716,10,BEA,782,10,True,20210822T002901.000Z_15000097_5458
479,brawlBall,Sneaky Fields,ranked,STU,1036,10,BEA,999,10,FRANK,1045,10,TARA,843,10,TICK,849,10,EL PRIMO,837,10,True,20210822T003117.000Z_15000050_5609
480,brawlBall,Sneaky Fields,ranked,RICO,932,10,SANDY,851,10,STU,932,10,TARA,1099,10,BEA,1002,10,STU,1041,10,False,20210822T003916.000Z_15000050_5857
481,brawlBall,Sneaky Fields,ranked,BYRON,945,10,EMZ,930,10,TARA,912,10,BEA,1007,10,STU,1046,10,RICO,1063,10,False,20210822T004509.000Z_15000050_5903
482,brawlBall,Sneaky Fields,ranked,BEA,1012,10,STU,1051,10,RICO,1068,10,STU,853,10,LOU,731,10,EMZ,797,10,False,20210822T005002.000Z_15000050_5512
483,brawlBall,Sneaky Fields,ranked,EMZ,920,10,STU,1040,10,RICO,1057,10,BROCK,980,10,MAX,834,10,SPIKE,922,10,True,20210822T005311.000Z_15000050_5753
484,brawlBall,Sneaky Fields,ranked,NITA,863,10,BULL,815,10,EL PRIMO,804,10,EMZ,926,10,STU,1045,10,RICO,1062,10,False,20210822T005802.000Z_15000050_5515
485,brawlBall,Sneaky Fields,ranked,DARRYL,1002,10,COLT,834,10,TARA,825,10,SANDY,904,10,JESSIE,903,10,TARA,902,10,False,20210822T011608.000Z_15000050_5370
486,siege,Bot Drop,ranked,CROW,923,10,BELLE,1070,10,PAM,1055,10,NITA,707,10,STU,691,10,BYRON,731,10,True,20210822T011804.000Z_15000097_5177
487,brawlBall,Sneaky Fields,ranked,SANDY,744,10,EDGAR,792,10,EL PRIMO,1075,10,SPIKE,976,10,SANDY,1043,10,BYRON,1018,10,False,20210822T011824.000Z_15000050_5648
488,brawlBall,Sneaky Fields,ranked,SPIKE,982,10,SANDY,1048,10,BEA,1004,10,GENE,897,10,RICO,1236,10,NITA,1235,10,True,20210822T012310.000Z_15000050_6402
489,siege,Bot Drop,ranked,CROW,929,10,BELLE,1075,10,PAM,1060,10,SANDY,737,10,STU,734,10,MAX,753,10,True,20210822T012328.000Z_15000097_5288
